Employee ID,Age,Age_Group,Gender,Work Arrangement,Department,Job Title,Salary ($),Retirement Plan,Contribution (%),Retirement Savings ($),Health Insurance,Dental Insurance,Life Insurance,PTO Allocated (Days),Marital Status
E00024,43,41 - 50,Female,On-site,Finance,Financial Analyst,98190,401(k),5,13695.45,None,None,Standard,19,Single
E00025,54,51 - 60,Male,On-site,Sales,Sales Manager,111858,401(k),0,0.0,Standard,None,None,22,Single
E00026,24,20 - 30,Female,Hybrid,Marketing,Content Specialist,53561,Roth,9,33067.08,Standard,None,Standard,23,Divorced
E00027,26,20 - 30,Male,Hybrid,IT,IT Support,58392,None,0,0.0,Standard,None,None,19,Single
E00028,31,31 - 40,Male,Hybrid,HR,HR Coordinator,102256,Roth,10,44352.15,None,Standard,Standard,25,Single
E00029,43,41 - 50,Female,On-site,HR,HR Manager,146354,Simple,6,59168.15,None,Premium,None,22,Single
E00030,54,51 - 60,Male,On-site,Finance,Finance Manager,120592,Safe Harbor,5,12519.55,Standard,None,Standard,25,Married
E00031,22,20 - 30,Female,Hybrid,HR,Recruiter,102992,None,0,0.0,None,None,Standard,16,Divorced
E00032,45,41 - 50,Male,WFH,Marketing,Content Specialist,148806,Safe Harbor,9,44257.19,Premium,None,None,22,Married
E00033,28,20 - 30,Female,WFH,HR,Recruiter,50206,401(k),9,9028.12,Premium,Standard,Standard,23,Married
E00034,32,31 - 40,Female,Hybrid,Marketing,Marketing Manager,100015,Roth,9,47512.11,Premium,Standard,None,24,Married
E00035,51,51 - 60,Male,On-site,IT,Systems Administrator,137939,401(k),8,24872.97,Premium,Premium,None,18,Single
E00036,64,61 - 70,Male,Hybrid,Engineering,Software Engineer,117214,Safe Harbor,5,16571.43,Standard,None,Standard,24,Divorced
E00037,51,51 - 60,Male,Hybrid,Sales,Account Executive,131734,401(k),5,47773.76,Premium,Premium,None,23,Divorced
E00038,21,20 - 30,Female,On-site,HR,Recruiter,114044,Simple,8,61133.37,None,Standard,Standard,17,Single
E00039,47,41 - 50,Male,On-site,HR,HR Coordinator,145259,Simple,6,23350.07,None,Premium,None,25,Married
E00040,30,20 - 30,Male,WFH,HR,HR Manager,68047,Safe Harbor,4,5712.66,Premium,None,None,20,Married
E00041,58,51 - 60,Female,On-site,Marketing,Content Specialist,73776,None,0,0.0,None,None,Standard,12,Married
E00042,46,41 - 50,Male,WFH,Engineering,Lead Engineer,111373,401(k),0,0.0,None,Premium,Standard,15,Single
E00043,32,31 - 40,Female,Hybrid,Sales,Sales Associate,105016,Roth,5,5579.34,Standard,Standard,None,19,Single
E00044,46,41 - 50,Female,WFH,HR,HR Manager,144856,Safe Harbor,8,34753.51,Premium,None,None,14,Divorced
E00045,61,51 - 60,Female,WFH,Finance,Finance Manager,116199,401(k),9,26297.66,None,Premium,None,19,Single
E00046,60,51 - 60,Female,WFH,Sales,Sales Associate,104384,Safe Harbor,8,81386.44,None,Standard,Standard,15,Single
E00047,31,31 - 40,Female,Hybrid,Finance,Accountant,102733,None,0,0.0,Standard,None,None,18,Divorced
E00048,21,20 - 30,Female,Hybrid,Finance,Financial Analyst,139474,401(k),0,0.0,Premium,Premium,None,16,Married
E00049,68,61 - 70,Female,WFH,Engineering,DevOps Engineer,143264,Simple,5,46461.08,Standard,Standard,Standard,13,Single
E00050,47,41 - 50,Female,On-site,Finance,Finance Manager,50854,401(k),7,14615.18,Premium,Premium,Standard,12,Married
E00051,38,31 - 40,Female,WFH,Marketing,Brand Strategist,96717,None,0,0.0,None,Standard,None,13,Married
E00052,63,61 - 70,Female,Hybrid,HR,Recruiter,76309,401(k),10,48336.18,Standard,Standard,None,18,Single
E00053,30,20 - 30,Female,On-site,Engineering,Lead Engineer,62688,401(k),9,46423.17,None,None,None,16,Divorced
E00054,53,51 - 60,Female,WFH,HR,Recruiter,115733,Simple,8,53903.54,None,None,None,12,Single
E00055,28,20 - 30,Female,On-site,Engineering,Software Engineer,92107,Roth,5,12336.2,None,Premium,None,24,Married
E00056,22,20 - 30,Male,WFH,HR,HR Coordinator,99811,401(k),6,42507.98,Premium,None,None,14,Divorced
E00057,45,41 - 50,Female,Hybrid,Sales,Account Executive,84754,401(k),9,23176.96,Premium,Standard,Standard,18,Divorced
E00058,60,51 - 60,Male,WFH,IT,Network Engineer,134896,Roth,10,60441.75,None,Premium,Standard,13,Single
E00059,59,51 - 60,Female,WFH,Finance,Accountant,87504,Safe Harbor,5,17805.3,Premium,Standard,Standard,20,Single
E00060,69,61 - 70,Male,On-site,HR,HR Coordinator,97254,Roth,9,77865.92,None,Premium,None,14,Single
E00061,26,20 - 30,Female,WFH,HR,Recruiter,96843,None,0,0.0,Premium,Standard,Standard,21,Divorced
E00062,67,61 - 70,Female,WFH,HR,Recruiter,66371,Roth,6,13330.47,Premium,Standard,None,12,Divorced
E00063,67,61 - 70,Female,WFH,IT,Network Engineer,70932,Safe Harbor,7,44407.75,None,None,None,18,Divorced
E00064,28,20 - 30,Male,Hybrid,HR,Recruiter,57400,None,0,0.0,Premium,Standard,None,14,Single
E00065,38,31 - 40,Male,WFH,Marketing,Marketing Manager,65151,Safe Harbor,10,59117.97,Standard,None,None,19,Divorced
E00066,52,51 - 60,Male,WFH,HR,Recruiter,62183,Simple,6,6556.3,None,None,None,19,Married
E00067,55,51 - 60,Female,On-site,Marketing,Content Specialist,103351,401(k),6,38608.91,Premium,None,None,25,Divorced
E00068,44,41 - 50,Male,WFH,Engineering,Lead Engineer,132018,None,0,0.0,Premium,Standard,None,20,Divorced
E00069,48,41 - 50,Male,On-site,Engineering,DevOps Engineer,118497,401(k),10,44415.93,Standard,Standard,Standard,13,Married
E00070,54,51 - 60,Female,On-site,IT,Systems Administrator,111135,Roth,7,23481.68,Premium,Standard,None,12,Single
E00071,23,20 - 30,Female,Hybrid,Sales,Account Executive,73328,401(k),8,23046.09,Standard,Standard,Standard,15,Divorced
E00072,27,20 - 30,Female,WFH,Marketing,Content Specialist,96214,Simple,5,33282.91,None,None,None,12,Married
E00073,67,61 - 70,Female,WFH,HR,HR Manager,120091,Simple,5,25876.26,Premium,None,None,18,Divorced
E00074,41,41 - 50,Male,On-site,IT,Network Engineer,56893,Roth,8,44408.83,Standard,Standard,None,24,Divorced
E00075,27,20 - 30,Female,On-site,Marketing,Content Specialist,69738,Safe Harbor,5,28429.75,Standard,None,None,25,Single
E00076,52,51 - 60,Male,Hybrid,Marketing,Content Specialist,89790,None,0,0.0,Premium,None,None,12,Single
E00077,24,20 - 30,Male,On-site,Finance,Finance Manager,143179,Simple,7,55051.16,Standard,None,Standard,15,Divorced
E00078,54,51 - 60,Female,WFH,Finance,Accountant,123744,401(k),6,70267.74,Premium,Standard,Standard,24,Divorced
E00079,65,61 - 70,Male,WFH,Sales,Account Executive,86212,Safe Harbor,8,29873.69,None,Standard,None,20,Married
E00080,56,51 - 60,Male,Hybrid,Sales,Sales Manager,68711,Safe Harbor,7,23344.98,Premium,Premium,None,16,Single
E00081,50,41 - 50,Female,Hybrid,Marketing,Brand Strategist,116235,Safe Harbor,0,0.0,Premium,Standard,None,15,Married
E00082,40,31 - 40,Female,On-site,HR,HR Coordinator,56102,None,0,0.0,Standard,Premium,None,12,Single
E00083,22,20 - 30,Female,WFH,Marketing,Brand Strategist,76641,Safe Harbor,0,0.0,Standard,Standard,None,21,Married
E00084,50,41 - 50,Female,Hybrid,Sales,Account Executive,73093,Simple,4,27395.7,Premium,None,None,25,Single
E00085,43,41 - 50,Male,On-site,Marketing,Content Specialist,122991,401(k),9,109701.04,Standard,Standard,None,13,Divorced
E00086,46,41 - 50,Male,WFH,Sales,Account Executive,60729,401(k),4,9480.91,Standard,None,Standard,19,Married
E00087,52,51 - 60,Female,On-site,Finance,Finance Manager,128069,Safe Harbor,10,76526.09,Premium,None,Standard,21,Single
E00088,45,41 - 50,Female,On-site,Finance,Finance Manager,100993,401(k),0,0.0,Premium,None,Standard,19,Married
E00089,32,31 - 40,Male,On-site,Finance,Accountant,138891,None,0,0.0,None,Premium,Standard,21,Single
E00090,26,20 - 30,Female,Hybrid,Sales,Account Executive,139912,Roth,6,68707.9,Premium,None,Standard,12,Married
E00091,27,20 - 30,Female,On-site,Engineering,Software Engineer,56655,Safe Harbor,8,36994.06,None,Standard,None,23,Divorced
E00092,42,41 - 50,Female,WFH,Sales,Sales Associate,63403,Roth,4,4681.27,None,Standard,Standard,18,Divorced
E00093,41,41 - 50,Male,On-site,Marketing,Marketing Manager,143848,None,0,0.0,Premium,Premium,None,21,Divorced
E00094,41,41 - 50,Female,WFH,Sales,Sales Manager,105609,None,0,0.0,Standard,Standard,Standard,21,Divorced
E00095,41,41 - 50,Female,On-site,Marketing,Content Specialist,81024,Simple,6,6560.57,Premium,Premium,Standard,17,Single
E00096,62,61 - 70,Male,Hybrid,IT,Network Engineer,118027,Roth,7,47094.34,Standard,Standard,Standard,16,Single
E00097,63,61 - 70,Female,WFH,Finance,Accountant,98747,Roth,7,35359.03,None,Standard,None,17,Divorced
E00098,64,61 - 70,Male,On-site,HR,HR Coordinator,108335,Roth,6,30564.67,Standard,Premium,None,14,Single
E00099,59,51 - 60,Female,Hybrid,Sales,Account Executive,123523,Roth,10,120838.46,Premium,Standard,None,23,Married
E00100,61,51 - 60,Female,On-site,IT,IT Support,133613,Roth,5,54491.9,Standard,Premium,Standard,14,Married
E00101,47,41 - 50,Female,Hybrid,Marketing,Brand Strategist,75945,None,0,0.0,Standard,Premium,None,16,Married
E00102,45,41 - 50,Male,WFH,Engineering,Lead Engineer,58308,401(k),8,39760.56,Premium,Premium,None,20,Single
E00103,31,31 - 40,Female,On-site,IT,Network Engineer,124740,401(k),0,0.0,None,Standard,None,21,Divorced
E00104,20,20 - 30,Male,Hybrid,HR,Recruiter,96175,None,0,0.0,None,Premium,None,25,Divorced
E00105,67,61 - 70,Female,Hybrid,IT,Network Engineer,70056,Safe Harbor,10,65933.39,None,Standard,None,12,Married
E00106,35,31 - 40,Female,On-site,Marketing,Brand Strategist,63500,401(k),9,39513.52,Standard,Premium,None,16,Single
E00107,41,41 - 50,Male,On-site,Marketing,Content Specialist,109638,Simple,5,17704.23,Premium,None,None,14,Single
E00108,56,51 - 60,Male,On-site,Finance,Financial Analyst,122789,None,0,0.0,None,Premium,None,20,Married
E00109,48,41 - 50,Female,Hybrid,Sales,Sales Associate,111389,Roth,6,9450.4,Standard,None,Standard,12,Married
E00110,49,41 - 50,Female,On-site,Engineering,Lead Engineer,145981,Simple,8,85637.37,Standard,Premium,None,23,Single
E00111,35,31 - 40,Male,Hybrid,IT,Network Engineer,85247,Simple,7,31395.38,None,Standard,None,12,Married
E00112,49,41 - 50,Female,WFH,IT,Network Engineer,76646,Roth,4,20058.72,Premium,Standard,Standard,16,Married
E00113,55,51 - 60,Female,On-site,Sales,Sales Manager,118385,401(k),6,31051.3,None,Standard,Standard,21,Single
E00114,38,31 - 40,Female,On-site,Finance,Finance Manager,59823,Safe Harbor,0,0.0,None,Premium,Standard,19,Married
E00115,24,20 - 30,Female,Hybrid,Marketing,Content Specialist,66364,Roth,6,26051.83,Premium,Standard,None,18,Married
E00116,21,20 - 30,Male,On-site,HR,HR Coordinator,144704,Roth,6,54454.84,None,None,Standard,22,Married
E00117,39,31 - 40,Female,Hybrid,HR,HR Coordinator,68071,Roth,6,18352.74,None,Premium,Standard,23,Divorced
E00118,52,51 - 60,Male,Hybrid,HR,HR Manager,54000,Safe Harbor,7,22341.88,Premium,None,Standard,16,Single
E00119,31,31 - 40,Male,WFH,HR,HR Manager,147856,401(k),0,0.0,Standard,None,Standard,19,Single
E00120,29,20 - 30,Female,Hybrid,HR,Recruiter,132986,401(k),6,27652.98,Premium,None,Standard,23,Single
E00121,50,41 - 50,Female,On-site,Marketing,Brand Strategist,53373,401(k),4,2883.57,Premium,Premium,Standard,13,Married
E00122,54,51 - 60,Male,Hybrid,Sales,Account Executive,77350,401(k),0,0.0,Premium,Standard,Standard,21,Single
E00123,27,20 - 30,Male,WFH,Marketing,Content Specialist,138668,Roth,4,39573.2,None,Premium,Standard,25,Single
E00124,53,51 - 60,Female,WFH,Finance,Financial Analyst,107458,Safe Harbor,0,0.0,None,None,None,18,Single
E00125,23,20 - 30,Female,Hybrid,HR,Recruiter,132745,Roth,7,38423.31,Standard,Standard,None,22,Single
E00126,48,41 - 50,Female,WFH,IT,Systems Administrator,57543,Simple,6,16439.51,Premium,Standard,Standard,24,Married
E00127,55,51 - 60,Male,WFH,HR,HR Manager,94425,Roth,7,51262.13,Standard,Standard,None,14,Divorced
E00128,68,61 - 70,Male,WFH,Finance,Accountant,133042,Simple,10,28593.49,Standard,Premium,None,12,Single
E00129,58,51 - 60,Male,WFH,IT,IT Support,84911,Roth,10,74756.06,None,Standard,Standard,16,Divorced
E00130,31,31 - 40,Male,On-site,IT,Network Engineer,86208,Safe Harbor,9,60190.91,Premium,Standard,None,20,Married
E00131,54,51 - 60,Female,WFH,Sales,Sales Associate,71352,Simple,8,52075.41,Premium,Standard,Standard,25,Divorced
E00132,39,31 - 40,Female,On-site,Engineering,Lead Engineer,96959,Safe Harbor,0,0.0,None,Premium,Standard,17,Married
E00133,32,31 - 40,Male,Hybrid,HR,Recruiter,116234,401(k),5,26169.01,Standard,Standard,None,23,Married
E00134,60,51 - 60,Male,WFH,Engineering,DevOps Engineer,74466,401(k),6,18739.28,Standard,Premium,Standard,23,Divorced
E00135,33,31 - 40,Female,On-site,Sales,Account Executive,101934,Roth,10,54460.16,Premium,None,Standard,21,Divorced
E00136,66,61 - 70,Male,WFH,IT,IT Support,58335,Roth,7,7453.67,Premium,Premium,None,23,Married
E00137,44,41 - 50,Male,WFH,Finance,Financial Analyst,147203,401(k),5,21451.53,Premium,None,Standard,16,Divorced
E00138,42,41 - 50,Male,Hybrid,HR,Recruiter,116703,None,0,0.0,None,Standard,None,20,Divorced
E00139,58,51 - 60,Female,Hybrid,IT,Network Engineer,134076,Roth,7,51147.95,Standard,None,Standard,18,Single
E00140,33,31 - 40,Male,WFH,IT,Systems Administrator,59348,Roth,5,26674.96,Premium,Premium,None,22,Single
E00141,30,20 - 30,Female,Hybrid,Marketing,Content Specialist,56801,Safe Harbor,9,11690.97,None,Standard,None,21,Married
E00142,63,61 - 70,Male,On-site,Engineering,Lead Engineer,122592,401(k),7,73339.79,Standard,Premium,Standard,25,Divorced
E00143,32,31 - 40,Male,Hybrid,HR,HR Manager,100343,Simple,4,18342.16,Standard,Standard,Standard,22,Divorced
E00144,21,20 - 30,Male,On-site,Finance,Finance Manager,133460,Safe Harbor,7,16475.34,None,Standard,Standard,14,Divorced
E00145,27,20 - 30,Male,Hybrid,Marketing,Brand Strategist,63807,Safe Harbor,7,19365.71,None,Standard,Standard,15,Married
E00146,36,31 - 40,Female,WFH,HR,Recruiter,107854,Simple,9,95845.63,Standard,Standard,None,15,Single
E00147,55,51 - 60,Male,Hybrid,IT,Systems Administrator,85909,Simple,6,9028.21,Standard,None,Standard,24,Single
E00148,63,61 - 70,Male,Hybrid,Sales,Account Executive,76790,401(k),5,12434.29,Premium,None,None,14,Divorced
E00149,58,51 - 60,Female,On-site,Engineering,DevOps Engineer,65485,Simple,5,10749.82,Standard,Premium,None,13,Married
E00150,47,41 - 50,Female,WFH,Sales,Account Executive,53709,Safe Harbor,4,16475.27,None,Standard,None,19,Single
E00151,60,51 - 60,Male,WFH,Marketing,Marketing Manager,92918,401(k),0,0.0,Premium,None,None,14,Divorced
E00152,32,31 - 40,Male,WFH,HR,HR Coordinator,130219,Safe Harbor,8,47941.49,Premium,Standard,None,23,Divorced
E00153,68,61 - 70,Male,WFH,HR,Recruiter,73960,Simple,10,42566.43,Premium,Premium,Standard,16,Single
E00154,25,20 - 30,Male,Hybrid,HR,Recruiter,117641,None,0,0.0,Premium,Standard,None,23,Married
E00155,64,61 - 70,Female,WFH,Engineering,Lead Engineer,72700,Safe Harbor,7,19868.36,Standard,None,Standard,17,Single
E00156,40,31 - 40,Female,Hybrid,Sales,Account Executive,111642,Simple,6,11147.47,None,None,None,14,Married
E00157,38,31 - 40,Female,WFH,Finance,Finance Manager,63843,None,0,0.0,Standard,None,None,20,Married
E00158,37,31 - 40,Male,On-site,Marketing,Brand Strategist,121726,Safe Harbor,0,0.0,Standard,None,None,12,Single
E00159,33,31 - 40,Female,WFH,Finance,Financial Analyst,102638,401(k),0,0.0,Standard,None,None,16,Married
E00160,22,20 - 30,Male,WFH,Marketing,Marketing Manager,69087,Simple,9,8761.03,Standard,None,Standard,23,Divorced
E00161,29,20 - 30,Female,On-site,IT,Network Engineer,60975,Roth,10,54952.95,Standard,Standard,Standard,23,Single
E00162,43,41 - 50,Male,Hybrid,Finance,Accountant,116203,401(k),7,28440.7,Standard,Premium,None,23,Single
E00163,55,51 - 60,Male,On-site,Marketing,Brand Strategist,111529,Roth,10,46621.02,Standard,Premium,None,13,Single
E00164,47,41 - 50,Male,Hybrid,Marketing,Brand Strategist,77355,None,0,0.0,Standard,None,Standard,16,Single
E00165,60,51 - 60,Female,Hybrid,HR,HR Manager,54835,Simple,10,27851.62,None,Premium,Standard,12,Married
E00166,28,20 - 30,Female,WFH,Engineering,DevOps Engineer,128752,None,0,0.0,Premium,Standard,None,16,Divorced
E00167,39,31 - 40,Male,Hybrid,Marketing,Content Specialist,85547,Safe Harbor,10,21074.95,Standard,Standard,None,25,Divorced
E00168,54,51 - 60,Female,WFH,Marketing,Content Specialist,95445,401(k),4,18133.6,None,Premium,None,16,Single
E00169,66,61 - 70,Male,WFH,IT,Systems Administrator,125672,None,0,0.0,None,Standard,None,13,Divorced
E00170,29,20 - 30,Male,On-site,Engineering,Software Engineer,134791,401(k),8,94834.36,Standard,Standard,Standard,24,Single
E00171,24,20 - 30,Female,WFH,Marketing,Content Specialist,51015,Safe Harbor,0,0.0,None,Premium,Standard,17,Single
E00172,20,20 - 30,Male,WFH,Finance,Finance Manager,58415,Simple,9,12374.5,None,Premium,None,16,Divorced
E00173,45,41 - 50,Male,WFH,Marketing,Marketing Manager,54158,None,0,0.0,Premium,None,Standard,20,Divorced
E00174,41,41 - 50,Female,On-site,Marketing,Marketing Manager,56970,Safe Harbor,5,17437.76,Standard,Premium,Standard,12,Single
E00175,53,51 - 60,Male,WFH,Sales,Sales Manager,125880,401(k),5,13876.19,None,Standard,Standard,16,Divorced
E00176,67,61 - 70,Female,WFH,Sales,Sales Associate,97926,401(k),8,56604.59,Standard,Standard,None,16,Single
E00177,50,41 - 50,Male,On-site,HR,Recruiter,59860,401(k),8,44145.51,Standard,Premium,None,18,Married
E00178,56,51 - 60,Male,WFH,Sales,Sales Manager,119172,401(k),7,65182.46,Premium,None,Standard,14,Married
E00179,36,31 - 40,Female,WFH,Sales,Account Executive,106397,None,0,0.0,Premium,Standard,Standard,20,Divorced
E00180,65,61 - 70,Male,On-site,Sales,Sales Associate,84816,Safe Harbor,5,14726.54,Premium,None,Standard,15,Single
E00181,20,20 - 30,Female,Hybrid,Finance,Financial Analyst,87744,401(k),10,57587.74,Standard,Premium,None,23,Married
E00182,50,41 - 50,Male,Hybrid,Finance,Financial Analyst,57239,None,0,0.0,Standard,Standard,None,18,Single
E00183,45,41 - 50,Female,Hybrid,IT,Network Engineer,108017,Safe Harbor,8,68706.29,Premium,Premium,Standard,22,Single
E00184,69,61 - 70,Female,WFH,Engineering,Lead Engineer,87131,None,0,0.0,None,Standard,None,12,Married
E00185,63,61 - 70,Male,WFH,Engineering,Lead Engineer,74285,Simple,5,17201.98,None,Standard,Standard,18,Single
E00186,34,31 - 40,Male,WFH,HR,Recruiter,51252,Roth,7,24231.83,Standard,None,Standard,22,Divorced
E00187,58,51 - 60,Male,Hybrid,Marketing,Brand Strategist,131317,None,0,0.0,None,None,Standard,23,Divorced
E00188,53,51 - 60,Female,On-site,HR,HR Coordinator,56949,None,0,0.0,Premium,Premium,Standard,13,Single
E00189,53,51 - 60,Male,On-site,HR,Recruiter,123553,None,0,0.0,None,None,Standard,25,Married
E00190,34,31 - 40,Male,WFH,Engineering,DevOps Engineer,73386,401(k),5,33527.97,Standard,Premium,None,15,Married
E00191,57,51 - 60,Female,WFH,IT,IT Support,106800,Safe Harbor,10,98194.5,None,Standard,None,25,Divorced
E00192,61,51 - 60,Male,On-site,HR,Recruiter,93088,Simple,7,53225.6,Premium,Premium,None,21,Single
E00193,36,31 - 40,Male,WFH,Marketing,Content Specialist,137369,401(k),0,0.0,Standard,Premium,Standard,23,Single
E00194,39,31 - 40,Female,Hybrid,Finance,Accountant,142705,Safe Harbor,8,62031.73,Standard,Premium,Standard,24,Married
E00195,62,61 - 70,Male,WFH,Engineering,Lead Engineer,62015,None,0,0.0,Premium,None,None,22,Married
E00196,66,61 - 70,Male,On-site,Marketing,Marketing Manager,67144,None,0,0.0,Premium,Standard,None,18,Married
E00197,35,31 - 40,Female,WFH,Engineering,Lead Engineer,121774,Roth,5,13696.19,None,None,None,19,Single
E00198,23,20 - 30,Male,WFH,IT,Systems Administrator,91240,None,0,0.0,Standard,Premium,Standard,14,Married
E00199,51,51 - 60,Female,Hybrid,Sales,Account Executive,83434,Safe Harbor,7,56990.39,None,Premium,None,24,Single
E00200,38,31 - 40,Female,WFH,Marketing,Brand Strategist,107108,401(k),7,30783.06,None,None,None,21,Divorced
E00201,41,41 - 50,Male,On-site,Engineering,DevOps Engineer,129252,401(k),8,21566.71,Premium,None,Standard,20,Divorced
E00202,31,31 - 40,Female,Hybrid,Sales,Sales Manager,68777,Roth,8,23540.6,Premium,None,None,25,Married
E00203,45,41 - 50,Female,Hybrid,HR,HR Manager,131818,Safe Harbor,0,0.0,Standard,Standard,Standard,21,Married
E00204,66,61 - 70,Male,WFH,Sales,Sales Associate,55240,Roth,8,7670.99,Standard,Standard,None,25,Married
E00205,62,61 - 70,Female,On-site,Engineering,DevOps Engineer,69262,Simple,10,10733.54,Premium,Premium,None,21,Divorced
E00206,55,51 - 60,Male,Hybrid,Marketing,Brand Strategist,129104,Safe Harbor,10,99853.39,Premium,Premium,Standard,24,Married
E00207,34,31 - 40,Male,Hybrid,Engineering,Lead Engineer,50302,Safe Harbor,9,42176.91,Standard,Standard,None,25,Divorced
E00208,45,41 - 50,Male,Hybrid,Finance,Accountant,78699,Roth,9,40949.08,None,Standard,Standard,13,Single
E00209,64,61 - 70,Female,WFH,Sales,Sales Manager,54621,Roth,5,8935.81,None,Standard,None,18,Divorced
E00210,22,20 - 30,Female,Hybrid,Sales,Sales Manager,68030,Safe Harbor,9,34318.33,Premium,None,Standard,23,Married
E00211,64,61 - 70,Female,Hybrid,Marketing,Content Specialist,138869,Simple,5,31762.63,Standard,Standard,Standard,20,Single
E00212,56,51 - 60,Male,WFH,HR,HR Manager,60267,Safe Harbor,4,14646.53,Premium,Premium,Standard,12,Single
E00213,58,51 - 60,Female,WFH,Sales,Account Executive,56229,Safe Harbor,4,13085.66,Standard,Standard,None,20,Divorced
E00214,36,31 - 40,Female,Hybrid,Engineering,Lead Engineer,53596,Simple,6,16933.32,Standard,None,None,21,Divorced
E00215,22,20 - 30,Female,WFH,IT,Systems Administrator,132152,None,0,0.0,None,Premium,Standard,24,Married
E00216,37,31 - 40,Female,On-site,HR,HR Coordinator,76734,None,0,0.0,Premium,Standard,Standard,15,Married
E00217,66,61 - 70,Male,On-site,IT,Network Engineer,76069,Safe Harbor,4,18316.44,None,Premium,Standard,19,Married
E00218,68,61 - 70,Male,Hybrid,Finance,Accountant,73275,Simple,5,16153.3,Premium,Standard,None,16,Single
E00219,25,20 - 30,Female,WFH,HR,HR Manager,134659,Simple,4,34838.96,None,None,Standard,22,Single
E00220,64,61 - 70,Female,On-site,Finance,Financial Analyst,53812,None,0,0.0,Standard,Premium,None,20,Divorced
E00221,52,51 - 60,Female,Hybrid,IT,IT Support,77285,Simple,7,12852.59,Premium,Premium,Standard,18,Divorced
E00222,67,61 - 70,Female,On-site,IT,IT Support,77139,401(k),8,16533.07,None,Standard,Standard,25,Divorced
E00223,49,41 - 50,Male,WFH,IT,Systems Administrator,63918,401(k),10,57979.31,Premium,Standard,None,18,Married
E00224,22,20 - 30,Male,On-site,Finance,Financial Analyst,74818,Safe Harbor,9,31604.73,Standard,None,None,15,Single
E00225,43,41 - 50,Male,WFH,Sales,Sales Associate,88110,401(k),8,32288.44,Premium,None,Standard,23,Divorced
E00226,30,20 - 30,Female,WFH,Sales,Sales Associate,137886,Simple,8,107833.52,Premium,Premium,None,25,Divorced
E00227,57,51 - 60,Male,On-site,Sales,Account Executive,63234,Simple,8,47371.8,None,None,Standard,22,Divorced
E00228,27,20 - 30,Male,On-site,Marketing,Brand Strategist,96514,Simple,7,53544.09,Standard,None,None,17,Divorced
E00229,45,41 - 50,Male,On-site,Sales,Sales Manager,92101,Simple,6,26684.95,None,Premium,None,12,Married
